id,price,accommodates,bedrooms,number_of_reviews,room_type
1447214255916429874,1452.0,2,1.0,0,Private room
792118806512100108,2500.0,2,1.0,101,Entire home/apt
1172686160577137698,5677.0,2,1.0,8,Private room
1076152081791988096,749.0,4,3.0,139,Entire home/apt
35712405,1014.0,2,1.0,5,Private room
18332729,1249.0,4,2.0,61,Entire home/apt
1397986968629174208,909.0,2,2.0,0,Entire home/apt
1487857946124175053,1506.0,3,2.0,0,Private room
1445697274926422787,622.0,4,1.0,7,Private room
701404496985362430,2011.0,6,3.0,163,Entire home/apt
1310192876070196868,3035.0,7,3.0,6,Entire home/apt
1100293771842434610,2100.0,5,2.0,4,Entire home/apt
1347529224101815361,585.0,2,1.0,19,Private room
24494873,5619.0,4,2.0,11,Entire home/apt
802851578882386122,948.0,2,1.0,26,Private room
1249516887139276832,4726.0,2,1.0,0,Private room
49029012,1500.0,4,2.0,87,Entire home/apt
1359512314428836031,376.0,2,1.0,15,Private room
1195734211345440954,1955.0,6,3.0,3,Entire home/apt
1117903684742094628,2039.0,2,1.0,43,Entire home/apt
1464061112684887514,1686.0,4,2.0,0,Entire home/apt
859616879376868024,2628.0,4,2.0,97,Entire home/apt
1389403040167667540,1304.0,8,3.0,19,Entire home/apt
832616695758855280,550.0,2,1.0,14,Private room
731236322578550844,1191.0,4,2.0,92,Entire home/apt
592656820625369404,1015.0,2,1.0,1,Private room
9131949,1815.0,4,2.0,41,Entire home/apt
50287230,333.0,2,1.0,114,Entire home/apt
1161707284311291607,860.0,2,1.0,33,Entire home/apt
1441594516571324348,736.0,15,2.0,4,Entire home/apt
21112024,1015.0,3,1.0,154,Private room
682389322810613362,2300.0,6,3.0,1,Entire home/apt
582881358934791920,2043.0,4,2.0,37,Entire home/apt
32167383,900.0,2,1.0,0,Private room
43180589,977.0,5,2.0,142,Entire home/apt
1071714518918437789,1700.0,3,1.0,48,Entire home/apt
1174138741816395326,958.0,5,2.0,46,Private room
1127866408741835418,1398.0,12,3.0,18,Entire home/apt
23277189,781.0,2,0.0,149,Private room
1481285243478516470,815.0,5,1.0,7,Entire home/apt
1166141485776295201,1200.0,3,1.0,28,Entire home/apt
52964236,1252.0,2,1.0,233,Entire home/apt
16570489,818.0,3,1.0,133,Entire home/apt
1487291912214190239,607.0,2,1.0,0,Private room
970984113858266891,2654.0,12,5.0,44,Entire home/apt
1382850594386490461,1170.0,4,2.0,17,Entire home/apt
1106559025329341252,1666.0,4,2.0,58,Entire home/apt
45454286,1315.0,2,1.0,30,Entire home/apt
664345742596749634,262.0,1,1.0,0,Private room
16924860,2743.0,10,3.0,201,Entire home/apt
757555080336966587,704.0,1,1.0,134,Private room
1460992536244564853,2148.0,4,2.0,0,Entire home/apt
602802465936045483,1329.0,3,1.0,33,Entire home/apt
603559653844143802,1281.0,2,1.0,106,Entire home/apt
45593985,414.0,3,1.0,81,Entire home/apt
1115339598931051833,351.0,1,1.0,13,Private room
42718029,292.0,1,1.0,19,Private room
1064672602501971085,1084.0,2,1.0,14,Entire home/apt
49648255,729.0,3,1.0,194,Entire home/apt
1518105840256589350,976.0,2,1.0,0,Entire home/apt
1454339651672939631,1247.0,3,1.0,7,Entire home/apt
46886338,688.0,2,1.0,175,Private room
52440446,11872.0,16,0.0,28,Entire home/apt
48283959,941.0,4,2.0,33,Entire home/apt
661475326194621175,1299.0,5,2.0,106,Entire home/apt
970366595688234796,2701.0,9,3.0,120,Entire home/apt
1034074689390914580,701.0,8,2.0,94,Entire home/apt
1139882441586650293,717.0,2,1.0,89,Entire home/apt
858654718461200918,909.0,2,1.0,17,Entire home/apt
1426968055929082332,743.0,2,1.0,2,Private room
39051753,1511.0,2,1.0,18,Private room
1500985756250467333,1315.0,6,3.0,1,Entire home/apt
599970069977725068,6812.0,4,2.0,13,Entire home/apt
1316895045648572889,2066.0,2,1.0,2,Entire home/apt
1465087835378068031,2534.0,4,2.0,6,Entire home/apt
1415628927227763024,1764.0,6,2.0,3,Entire home/apt
18268410,262.0,2,1.0,0,Private room
745183772535989679,557.0,2,1.0,139,Entire home/apt
710025202474359325,1827.0,8,2.0,60,Entire home/apt
608608952277678783,1910.0,8,4.0,144,Entire home/apt
27701795,4160.0,4,1.0,68,Entire home/apt
764617025318447864,548.0,2,1.0,80,Entire home/apt
1186369862399847828,917.0,6,2.0,48,Entire home/apt
577692942127377598,1330.0,2,1.0,51,Entire home/apt
6214515,1240.0,2,1.0,190,Private room
623867389254301102,1800.0,4,2.0,126,Entire home/apt
1375437979453246304,1267.0,4,2.0,13,Entire home/apt
1154439818909574398,740.0,2,1.0,1,Entire home/apt
601513071994211897,499.0,2,1.0,19,Private room
6345035,908.0,2,1.0,59,Entire home/apt
1518462568893975567,458.0,4,1.0,0,Entire home/apt
1460958818694947978,835.0,2,1.0,11,Private room
970582103571783442,1485.0,6,2.0,78,Entire home/apt
1150809518767266781,1515.0,4,2.0,12,Entire home/apt
14371044,1421.0,4,2.0,1,Private room
27929385,1567.0,3,1.0,171,Entire home/apt
1509079236800571116,5091.0,16,8.0,0,Entire home/apt
1353826634726209812,950.0,2,1.0,19,Entire home/apt
780534446456257950,1041.0,2,1.0,5,Entire home/apt
54021434,558.0,1,1.0,89,Private room
811471873499268962,1296.0,4,1.0,0,Private room
558098020852788093,1640.0,2,0.0,193,Entire home/apt
811879033456226334,2173.0,4,2.0,63,Entire home/apt
22486265,893.0,2,1.0,23,Private room
44291520,403.0,3,1.0,29,Entire home/apt
1181354065806825727,495.0,2,1.0,2,Private room
39919984,2072.0,2,1.0,95,Entire home/apt
11261727,1091.0,2,1.0,77,Entire home/apt
1356080967280337448,232.0,1,1.0,13,Shared room
1137807588798793223,1211.0,2,1.0,9,Entire home/apt
1409050032205854000,560.0,3,1.0,1,Entire home/apt
36549912,450.0,1,1.0,10,Private room
39265778,2416.0,4,2.0,36,Entire home/apt
982114492564908009,315.0,2,1.0,2,Private room
1034259219755321958,3600.0,10,4.0,0,Entire home/apt
1423285152975189227,2227.0,4,2.0,1,Entire home/apt
1395090546029482827,2080.0,4,2.0,19,Entire home/apt
1364647747778366510,1360.0,2,1.0,0,Private room
44806599,1244.0,4,2.0,245,Entire home/apt
1015426263281889826,485.0,2,1.0,82,Entire home/apt
1275672607848477644,1200.0,2,1.0,0,Entire home/apt
917077345862631084,2850.0,2,1.0,51,Entire home/apt
50292379,1036.0,2,1.0,28,Entire home/apt
1507430855289059624,1547.0,2,1.0,2,Entire home/apt
1293746189406649754,1238.0,2,1.0,26,Entire home/apt
995932886847218766,2270.0,6,3.0,49,Entire home/apt
1250219532084042850,17226.0,10,5.0,7,Entire home/apt
54405394,1050.0,4,2.0,275,Entire home/apt
957940152789346419,6082.0,2,1.0,1,Private room
2537481,2345.0,2,1.0,399,Entire home/apt
981382350679584665,2864.0,2,1.0,3,Private room
708880868955947885,1438.0,4,2.0,43,Entire home/apt
1406292731353674188,154.0,1,1.0,0,Shared room
